operation,n,p,trial,total_ns,avg_ns_per_op
find,10000,0.1,0,5416300,541.63
find,10000,0.1,1,5288900,528.89
find,10000,0.1,2,5883200,588.32
find,10000,0.1,3,5039000,503.9
find,10000,0.1,4,6046400,604.64
find,10000,0.1,5,5553900,555.39
find,10000,0.1,6,5643900,564.39
find,10000,0.2,0,5356700,535.67
find,10000,0.2,1,5305800,530.58
find,10000,0.2,2,4969000,496.9
find,10000,0.2,3,4675800,467.58
find,10000,0.2,4,4304000,430.4
find,10000,0.2,5,4675600,467.56
find,10000,0.2,6,4593600,459.36
find,10000,0.3,0,4911700,491.17
find,10000,0.3,1,4908900,490.89
find,10000,0.3,2,5031000,503.1
find,10000,0.3,3,4605100,460.51
find,10000,0.3,4,4617600,461.76
find,10000,0.3,5,5204900,520.49
find,10000,0.3,6,4714300,471.43
find,10000,0.4,0,5606000,560.6
find,10000,0.4,1,4654900,465.49
find,10000,0.4,2,4448800,444.88
find,10000,0.4,3,5066300,506.63
find,10000,0.4,4,5102000,510.2
find,10000,0.4,5,4423300,442.33
find,10000,0.4,6,5453500,545.35
find,10000,0.5,0,4661400,466.14
find,10000,0.5,1,6095000,609.5
find,10000,0.5,2,5240100,524.01
find,10000,0.5,3,5031700,503.17
find,10000,0.5,4,5657900,565.79
find,10000,0.5,5,5008000,500.8
find,10000,0.5,6,5395600,539.56
find,10000,0.6,0,5691000,569.1
find,10000,0.6,1,5624500,562.45
find,10000,0.6,2,4900300,490.03
find,10000,0.6,3,6932000,693.2
find,10000,0.6,4,6586800,658.68
find,10000,0.6,5,5325400,532.54
find,10000,0.6,6,6037500,603.75
find,10000,0.7,0,8579600,857.96
find,10000,0.7,1,8583400,858.34
find,10000,0.7,2,8767800,876.78
find,10000,0.7,3,8649500,864.95
find,10000,0.7,4,7839300,783.93
find,10000,0.7,5,8532000,853.2
find,10000,0.7,6,7476000,747.6
find,10000,0.8,0,25698400,2569.84
find,10000,0.8,1,24290400,2429.04
find,10000,0.8,2,24260300,2426.03
find,10000,0.8,3,26589500,2658.95
find,10000,0.8,4,23792500,2379.25
find,10000,0.8,5,36199200,3619.92
find,10000,0.8,6,27003600,2700.36
find,10000,0.9,0,129704400,12970.4
find,10000,0.9,1,142966200,14296.6
find,10000,0.9,2,137810900,13781.1
find,10000,0.9,3,221413500,22141.3
find,10000,0.9,4,132786200,13278.6
find,10000,0.9,5,170358300,17035.8
find,10000,0.9,6,142937300,14293.7
find,50000,0.1,0,71320200,1426.4
find,50000,0.1,1,79212500,1584.25
find,50000,0.1,2,67315800,1346.32
find,50000,0.1,3,67687300,1353.75
find,50000,0.1,4,93438700,1868.77
find,50000,0.1,5,55140700,1102.81
find,50000,0.1,6,74853400,1497.07
find,50000,0.2,0,55445400,1108.91
find,50000,0.2,1,51346000,1026.92
find,50000,0.2,2,56052800,1121.06
find,50000,0.2,3,38835600,776.712
find,50000,0.2,4,45343400,906.868
find,50000,0.2,5,49437300,988.746
find,50000,0.2,6,46153800,923.076
find,50000,0.3,0,42097700,841.954
find,50000,0.3,1,57460900,1149.22
find,50000,0.3,2,54696700,1093.93
find,50000,0.3,3,47482300,949.646
find,50000,0.3,4,54590600,1091.81
find,50000,0.3,5,49482500,989.65
find,50000,0.3,6,61710200,1234.2
find,50000,0.4,0,39008600,780.172
find,50000,0.4,1,55370600,1107.41
find,50000,0.4,2,38626800,772.536
find,50000,0.4,3,41607400,832.148
find,50000,0.4,4,36823200,736.464
find,50000,0.4,5,36351000,727.02
find,50000,0.4,6,38500800,770.016
find,50000,0.5,0,41772800,835.456
find,50000,0.5,1,43275300,865.506
find,50000,0.5,2,40657000,813.14
find,50000,0.5,3,36573200,731.464
find,50000,0.5,4,37332100,746.642
find,50000,0.5,5,36173300,723.466
find,50000,0.5,6,38236700,764.734
find,50000,0.6,0,39709300,794.186
find,50000,0.6,1,42353900,847.078
find,50000,0.6,2,51728700,1034.57
find,50000,0.6,3,40802100,816.042
find,50000,0.6,4,55984200,1119.68
find,50000,0.6,5,45163600,903.272
find,50000,0.6,6,49987900,999.758
find,50000,0.7,0,103938400,2078.77
find,50000,0.7,1,108801600,2176.03
find,50000,0.7,2,137308700,2746.17
find,50000,0.7,3,92007400,1840.15
find,50000,0.7,4,100883500,2017.67
find,50000,0.7,5,116361100,2327.22
find,50000,0.7,6,99759800,1995.2
find,50000,0.8,0,640513200,12810.3
find,50000,0.8,1,603127600,12062.6
find,50000,0.8,2,601824000,12036.5
find,50000,0.8,3,642199600,12844.0
find,50000,0.8,4,580448900,11609.0
find,50000,0.8,5,565422300,11308.4
find,50000,0.8,6,598646400,11972.9
find,50000,0.9,0,4750840900,95016.8
find,50000,0.9,1,4642050100,92841.0
find,50000,0.9,2,4876752100,97535.0
find,50000,0.9,3,4760625900,95212.5
find,50000,0.9,4,4652197400,93043.9
find,50000,0.9,5,4770572000,95411.4
find,50000,0.9,6,4868269200,97365.4
find,100000,0.1,0,194570000,1945.7
find,100000,0.1,1,234858300,2348.58
find,100000,0.1,2,221508000,2215.08
find,100000,0.1,3,194114500,1941.14
find,100000,0.1,4,184927000,1849.27
find,100000,0.1,5,207714200,2077.14
find,100000,0.1,6,197283800,1972.84
find,100000,0.2,0,161171500,1611.71
find,100000,0.2,1,143826400,1438.26
find,100000,0.2,2,125233500,1252.34
find,100000,0.2,3,162199300,1621.99
find,100000,0.2,4,137460200,1374.6
find,100000,0.2,5,133218800,1332.19
find,100000,0.2,6,148906100,1489.06
find,100000,0.3,0,146106900,1461.07
find,100000,0.3,1,131838900,1318.39
find,100000,0.3,2,128332100,1283.32
find,100000,0.3,3,219719000,2197.19
find,100000,0.3,4,142762800,1427.63
find,100000,0.3,5,142221200,1422.21
find,100000,0.3,6,142712100,1427.12
find,100000,0.4,0,101433100,1014.33
find,100000,0.4,1,112483100,1124.83
find,100000,0.4,2,115118800,1151.19
find,100000,0.4,3,85307800,853.078
find,100000,0.4,4,89343400,893.434
find,100000,0.4,5,139550600,1395.51
find,100000,0.4,6,151954600,1519.55
find,100000,0.5,0,137572500,1375.72
find,100000,0.5,1,125200700,1252.01
find,100000,0.5,2,123858300,1238.58
find,100000,0.5,3,118088000,1180.88
find,100000,0.5,4,140264000,1402.64
find,100000,0.5,5,144204600,1442.05
find,100000,0.5,6,150006000,1500.06
find,100000,0.6,0,173480000,1734.8
find,100000,0.6,1,161612300,1616.12
find,100000,0.6,2,137266500,1372.66
find,100000,0.6,3,112127200,1121.27
find,100000,0.6,4,124008700,1240.09
find,100000,0.6,5,100640700,1006.41
find,100000,0.6,6,119281100,1192.81
find,100000,0.7,0,449679100,4496.79
find,100000,0.7,1,422939800,4229.4
find,100000,0.7,2,412569800,4125.7
find,100000,0.7,3,479889900,4798.9
find,100000,0.7,4,484756400,4847.56
find,100000,0.7,5,416983500,4169.84
find,100000,0.7,6,394547100,3945.47
find,100000,0.8,0,2412840500,24128.4
find,100000,0.8,1,2389195300,23892.0
find,100000,0.8,2,2451249300,24512.5
find,100000,0.8,3,2493315600,24933.2
find,100000,0.8,4,2437043700,24370.4
find,100000,0.8,5,2557563500,25575.6
find,100000,0.8,6,2587505500,25875.1
find,100000,0.9,0,28309581900,283096.0
find,100000,0.9,1,24878206600,248782.0
find,100000,0.9,2,25943466100,259435.0
find,100000,0.9,3,28856498900,288565.0
find,100000,0.9,4,28967918100,289679.0
find,100000,0.9,5,27696969600,276970.0
find,100000,0.9,6,28713583300,287136.0
