n,p,mean_ns,std_ns
10000,0.1,555.3085714285714,34.48117526446928
10000,0.2,484.00714285714287,38.78546665710652
10000,0.3,485.62142857142857,22.290545401261827
10000,0.4,496.4971428571429,47.16296700953895
10000,0.5,529.8528571428571,47.22090769785693
10000,0.6,587.1071428571429,70.69786600133598
10000,0.7,834.6800000000001,48.805594283169384
10000,0.8,2683.3414285714284,430.94789961311136
10000,0.9,15399.642857142857,3255.418278735285
50000,0.1,1454.195714285714,236.85269443665777
50000,0.2,978.8988571428572,121.5866256014322
50000,0.3,1050.0585714285714,131.93958928092454
50000,0.4,817.9665714285713,132.08846973002244
50000,0.5,782.9154285714286,55.261573264059734
50000,0.6,930.6551428571429,123.01685101837138
50000,0.7,2168.744285714286,296.5351931815819
50000,0.8,12091.957142857142,569.6353010396003
50000,0.9,95203.71428571429,1845.4061092602985
100000,0.1,2049.964285714286,176.1217294806013
100000,0.2,1445.7357142857143,138.98485419367864
100000,0.3,1505.2757142857142,311.96346441301654
100000,0.4,1135.9888571428571,247.8232764393669
100000,0.5,1341.7057142857143,118.71545727173893
100000,0.6,1326.3085714285714,265.4040280671824
100000,0.7,4373.38,348.27075037485804
100000,0.8,24755.31428571429,742.05602759848
100000,0.9,276237.5714285714,15995.429272734369
